datetime,Current,Active_Power,Fordward_Energy,createdAt
2023-05-18 16:33:27.440,0.75,109,0.13,2023-05-18 16:33:27.440
2023-05-18 16:33:33.169,0.75,109,0.13,2023-05-18 16:33:33.169
2023-05-18 16:33:39.704,0.75,109,0.13,2023-05-18 16:33:39.704
2023-05-18 16:33:50.514,0.75,109,0.13,2023-05-18 16:33:50.514
2023-05-18 16:34:01.372,0.75,109,0.13,2023-05-18 16:34:01.372
2023-05-18 16:34:12.181,0.75,109,0.14,2023-05-18 16:34:12.181
2023-05-18 16:34:23.109,0.75,110,0.14,2023-05-18 16:34:23.109
2023-05-18 16:34:33.940,0.75,110,0.14,2023-05-18 16:34:33.940
2023-05-18 16:34:44.916,0.75,110,0.14,2023-05-18 16:34:44.916
2023-05-18 16:34:55.703,0.75,110,0.14,2023-05-18 16:34:55.703
2023-05-18 16:35:07.687,0.75,110,0.14,2023-05-18 16:35:07.687
2023-05-18 16:35:13.301,0.75,110,0.14,2023-05-18 16:35:13.301
2023-05-18 16:35:20.104,0.75,110,0.14,2023-05-18 16:35:20.104
2023-05-18 16:35:26.552,0.75,110,0.14,2023-05-18 16:35:26.552
2023-05-18 16:35:32.202,0.75,110,0.14,2023-05-18 16:35:32.202
2023-05-18 16:35:38.478,0.75,110,0.14,2023-05-18 16:35:38.478
2023-05-18 16:35:44.430,0.74,110,0.14,2023-05-18 16:35:44.430
2023-05-18 16:35:50.183,0.75,110,0.14,2023-05-18 16:35:50.183
2023-05-18 16:36:01.685,0.74,110,0.14,2023-05-18 16:36:01.685
2023-05-18 16:36:12.499,0.74,110,0.14,2023-05-18 16:36:12.499
2023-05-18 16:36:17.524,0.74,110,0.14,2023-05-18 16:36:17.524
2023-05-18 16:36:24.467,0.75,110,0.14,2023-05-18 16:36:24.467
2023-05-18 16:36:30.124,0.74,110,0.14,2023-05-18 16:36:30.124
2023-05-18 16:36:36.374,0.74,110,0.14,2023-05-18 16:36:36.374
2023-05-18 16:36:42.311,0.74,110,0.14,2023-05-18 16:36:42.311
2023-05-18 16:36:48.067,0.74,110,0.14,2023-05-18 16:36:48.067
2023-05-18 16:36:53.778,0.74,110,0.14,2023-05-18 16:36:53.778
2023-05-18 16:36:59.891,0.75,110,0.14,2023-05-18 16:36:59.891
2023-05-18 16:37:05.984,0.75,110,0.14,2023-05-18 16:37:05.984
2023-05-18 16:37:11.460,0.74,110,0.14,2023-05-18 16:37:11.460
2023-05-18 16:37:17.650,0.75,110,0.14,2023-05-18 16:37:17.650
2023-05-18 16:37:26.829,0.75,110,0.14,2023-05-18 16:37:26.829
2023-05-18 16:37:32.810,0.74,110,0.14,2023-05-18 16:37:32.810
2023-05-18 16:37:38.592,0.75,110,0.14,2023-05-18 16:37:38.592
2023-05-18 16:37:44.676,0.74,110,0.14,2023-05-18 16:37:44.676
2023-05-18 16:37:50.352,0.74,110,0.14,2023-05-18 16:37:50.352
2023-05-18 16:37:56.570,0.74,110,0.14,2023-05-18 16:37:56.570
2023-05-18 16:38:02.317,0.74,110,0.14,2023-05-18 16:38:02.317
